,成交时间,买卖方向,成交价格,成交数量,date,time
0,2020-06-05 09:35:04,卖出,111.5282,2500,2020-06-05,09:35:04
1,2020-06-05 09:35:05,卖出,111.5066,2500,2020-06-05,09:35:05
2,2020-06-05 09:35:06,卖出,111.502,2500,2020-06-05,09:35:06
3,2020-06-05 09:35:06,卖出,111.45,2500,2020-06-05,09:35:06
4,2020-06-05 09:35:07,卖出,111.45,2500,2020-06-05,09:35:07
5,2020-06-05 09:35:07,卖出,111.432,2500,2020-06-05,09:35:07
6,2020-06-05 09:35:08,卖出,111.4,2500,2020-06-05,09:35:08
7,2020-06-05 09:35:09,卖出,111.4,100,2020-06-05,09:35:09
8,2020-06-05 09:35:50,卖出,111.407,100,2020-06-05,09:35:50
9,2020-06-05 09:36:08,买入,111.387,200,2020-06-05,09:36:08
10,2020-06-05 09:40:29,卖出,111.435,4000,2020-06-05,09:40:29
11,2020-06-05 09:40:30,卖出,111.435,1700,2020-06-05,09:40:30
12,2020-06-05 09:41:09,买入,111.46,500,2020-06-05,09:41:09
13,2020-06-05 09:41:43,卖出,111.492,4000,2020-06-05,09:41:43
14,2020-06-05 09:42:37,卖出,111.518,4000,2020-06-05,09:42:37
15,2020-06-05 09:43:03,卖出,111.533,4000,2020-06-05,09:43:03
16,2020-06-05 09:44:09,卖出,111.547,4000,2020-06-05,09:44:09
17,2020-06-05 09:44:10,卖出,111.547,1000,2020-06-05,09:44:10
18,2020-06-05 09:44:45,买入,111.53,1000,2020-06-05,09:44:45
19,2020-06-05 09:46:47,卖出,111.4817,4000,2020-06-05,09:46:47
20,2020-06-05 09:47:24,卖出,111.495,1000,2020-06-05,09:47:24
21,2020-06-05 09:47:26,卖出,111.496,4000,2020-06-05,09:47:26
22,2020-06-05 09:47:27,卖出,111.5,4000,2020-06-05,09:47:27
23,2020-06-05 09:47:27,卖出,111.5,4000,2020-06-05,09:47:27
24,2020-06-05 09:47:29,买入,111.5078,4000,2020-06-05,09:47:29
25,2020-06-05 09:47:30,买入,111.508,1000,2020-06-05,09:47:30
26,2020-06-05 09:47:43,卖出,111.5115,1200,2020-06-05,09:47:43
27,2020-06-05 09:48:17,买入,111.5,900,2020-06-05,09:48:17
28,2020-06-05 09:50:00,卖出,111.487,100,2020-06-05,09:50:00
29,2020-06-05 09:56:14,卖出,111.5172,4000,2020-06-05,09:56:14
30,2020-06-05 09:57:42,卖出,111.51,2000,2020-06-05,09:57:42
31,2020-06-05 10:02:15,卖出,111.5005,1700,2020-06-05,10:02:15
32,2020-06-05 10:04:40,买入,111.515,2000,2020-06-05,10:04:40
33,2020-06-05 10:04:52,买入,111.5391,1000,2020-06-05,10:04:52
34,2020-06-05 10:05:05,卖出,111.545,1000,2020-06-05,10:05:05
35,2020-06-05 10:05:10,卖出,111.547,100,2020-06-05,10:05:10
36,2020-06-05 10:07:06,卖出,111.532,400,2020-06-05,10:07:06
37,2020-06-05 10:07:53,卖出,111.548,4000,2020-06-05,10:07:53
38,2020-06-05 10:07:53,卖出,111.56,4000,2020-06-05,10:07:53
39,2020-06-05 10:07:54,卖出,111.56,4000,2020-06-05,10:07:54
40,2020-06-05 10:10:45,买入,111.5665,4000,2020-06-05,10:10:45
41,2020-06-05 10:10:46,买入,111.5717,4000,2020-06-05,10:10:46
42,2020-06-05 10:10:52,卖出,111.5452,3800,2020-06-05,10:10:52
43,2020-06-05 10:11:34,买入,111.554,4000,2020-06-05,10:11:34
44,2020-06-05 10:11:37,卖出,111.546,3000,2020-06-05,10:11:37
45,2020-06-05 10:12:41,卖出,111.527,100,2020-06-05,10:12:41
46,2020-06-05 10:14:14,买入,111.515,4000,2020-06-05,10:14:14
47,2020-06-05 10:14:15,买入,111.492,1600,2020-06-05,10:14:15
48,2020-06-05 10:14:21,卖出,111.501,4000,2020-06-05,10:14:21
49,2020-06-05 10:14:47,卖出,111.512,500,2020-06-05,10:14:47
50,2020-06-05 10:15:33,买入,111.476,4000,2020-06-05,10:15:33
51,2020-06-05 10:15:33,买入,111.475,4000,2020-06-05,10:15:33
52,2020-06-05 10:15:36,卖出,111.4538,4000,2020-06-05,10:15:36
53,2020-06-05 10:15:37,卖出,111.445,2000,2020-06-05,10:15:37
54,2020-06-05 10:19:30,买入,111.442,1000,2020-06-05,10:19:30
55,2020-06-05 10:19:52,买入,111.433,3500,2020-06-05,10:19:52
56,2020-06-05 10:21:40,买入,111.4,4000,2020-06-05,10:21:40
57,2020-06-05 10:21:40,买入,111.3958,4000,2020-06-05,10:21:40
58,2020-06-05 10:22:04,卖出,111.3925,2000,2020-06-05,10:22:04
59,2020-06-05 10:23:11,卖出,111.419,4000,2020-06-05,10:23:11
60,2020-06-05 10:23:11,卖出,111.419,3100,2020-06-05,10:23:11
61,2020-06-05 10:24:22,买入,111.42,300,2020-06-05,10:24:22
62,2020-06-05 10:24:24,买入,111.422,1000,2020-06-05,10:24:24
63,2020-06-05 10:25:43,卖出,111.437,100,2020-06-05,10:25:43
64,2020-06-05 10:26:43,卖出,111.3847,1200,2020-06-05,10:26:43
65,2020-06-05 10:29:30,买入,111.4013,4000,2020-06-05,10:29:30
66,2020-06-05 10:29:30,买入,111.403,1500,2020-06-05,10:29:30
67,2020-06-05 10:30:11,卖出,111.383,2000,2020-06-05,10:30:11
68,2020-06-05 10:30:12,卖出,111.3795,2000,2020-06-05,10:30:12
69,2020-06-05 10:30:58,卖出,111.374,100,2020-06-05,10:30:58
70,2020-06-05 10:31:26,卖出,111.365,2000,2020-06-05,10:31:26
71,2020-06-05 10:32:15,卖出,111.365,2000,2020-06-05,10:32:15
72,2020-06-05 10:32:16,卖出,111.36,300,2020-06-05,10:32:16
73,2020-06-05 10:32:19,卖出,111.358,2000,2020-06-05,10:32:19
74,2020-06-05 10:32:21,卖出,111.353,2000,2020-06-05,10:32:21
75,2020-06-05 10:33:34,买入,111.369,4000,2020-06-05,10:33:34
76,2020-06-05 10:33:34,买入,111.35,3400,2020-06-05,10:33:34
77,2020-06-05 10:37:02,卖出,111.344,4000,2020-06-05,10:37:02
78,2020-06-05 10:37:45,卖出,111.354,4000,2020-06-05,10:37:45
79,2020-06-05 13:37:18,买入,111.5608,4000,2020-06-05,13:37:18
80,2020-06-05 13:37:19,买入,111.5777,4000,2020-06-05,13:37:19
81,2020-06-05 13:37:20,买入,111.597,4000,2020-06-05,13:37:20
82,2020-06-05 13:37:20,买入,111.5933,4000,2020-06-05,13:37:20
83,2020-06-05 13:37:21,买入,111.6236,1100,2020-06-05,13:37:21
84,2020-06-05 13:37:22,卖出,111.5965,4000,2020-06-05,13:37:22
85,2020-06-05 13:37:22,卖出,111.588,2000,2020-06-05,13:37:22
86,2020-06-05 13:37:23,买入,111.557,4000,2020-06-05,13:37:23
87,2020-06-05 13:38:06,卖出,111.592,100,2020-06-05,13:38:06
88,2020-06-05 13:38:07,卖出,111.588,1000,2020-06-05,13:38:07
89,2020-06-05 13:38:24,卖出,111.585,100,2020-06-05,13:38:24
90,2020-06-05 13:38:24,卖出,111.58,100,2020-06-05,13:38:24
91,2020-06-05 13:38:26,卖出,111.576,1000,2020-06-05,13:38:26
92,2020-06-05 13:38:44,卖出,111.578,100,2020-06-05,13:38:44
93,2020-06-05 13:38:48,卖出,111.574,1000,2020-06-05,13:38:48
94,2020-06-05 13:39:21,卖出,111.595,2100,2020-06-05,13:39:21
95,2020-06-05 13:40:07,买入,111.587,1000,2020-06-05,13:40:07
96,2020-06-05 13:41:46,卖出,111.579,3600,2020-06-05,13:41:46
97,2020-06-05 13:42:10,买入,111.564,100,2020-06-05,13:42:10
98,2020-06-05 13:48:03,卖出,111.569,1000,2020-06-05,13:48:03
99,2020-06-05 13:49:08,买入,111.56,2000,2020-06-05,13:49:08
100,2020-06-05 13:51:07,卖出,111.5507,1400,2020-06-05,13:51:07
101,2020-06-05 13:51:48,买入,111.515,2500,2020-06-05,13:51:48
102,2020-06-05 13:54:23,买入,111.521,100,2020-06-05,13:54:23
103,2020-06-05 13:54:37,买入,111.522,100,2020-06-05,13:54:37
104,2020-06-05 13:55:08,买入,111.527,200,2020-06-05,13:55:08
105,2020-06-05 13:57:42,卖出,111.53,100,2020-06-05,13:57:42
106,2020-06-05 13:58:22,卖出,111.533,100,2020-06-05,13:58:22
107,2020-06-05 13:59:53,卖出,111.534,100,2020-06-05,13:59:53
108,2020-06-05 14:01:18,卖出,111.515,3300,2020-06-05,14:01:18
109,2020-06-05 14:04:02,卖出,111.543,100,2020-06-05,14:04:02
110,2020-06-05 14:04:48,卖出,111.508,200,2020-06-05,14:04:48
111,2020-06-05 14:04:48,卖出,111.5066,4000,2020-06-05,14:04:48
112,2020-06-05 14:04:50,卖出,111.504,500,2020-06-05,14:04:50
113,2020-06-05 14:05:55,买入,111.5,100,2020-06-05,14:05:55
114,2020-06-05 14:06:19,买入,111.503,100,2020-06-05,14:06:19
115,2020-06-05 14:08:32,买入,111.482,2000,2020-06-05,14:08:32
116,2020-06-05 14:12:53,买入,111.449,4000,2020-06-05,14:12:53
117,2020-06-05 14:12:53,买入,111.444,1100,2020-06-05,14:12:53
118,2020-06-05 14:17:47,卖出,111.444,100,2020-06-05,14:17:47
119,2020-06-05 14:18:56,卖出,111.434,100,2020-06-05,14:18:56
120,2020-06-05 14:19:02,卖出,111.4305,200,2020-06-05,14:19:02
121,2020-06-05 14:20:20,卖出,111.421,1100,2020-06-05,14:20:20
122,2020-06-05 14:20:26,卖出,111.418,300,2020-06-05,14:20:26
123,2020-06-05 14:20:45,卖出,111.418,2800,2020-06-05,14:20:45
124,2020-06-05 14:21:36,卖出,111.428,100,2020-06-05,14:21:36
125,2020-06-05 14:22:21,买入,111.396,4000,2020-06-05,14:22:21
126,2020-06-05 14:22:22,买入,111.396,900,2020-06-05,14:22:22
127,2020-06-05 14:22:50,卖出,111.4,200,2020-06-05,14:22:50
128,2020-06-05 14:24:23,买入,111.3902,4000,2020-06-05,14:24:23
129,2020-06-05 14:25:34,卖出,111.409,100,2020-06-05,14:25:34
130,2020-06-05 14:27:40,卖出,111.429,200,2020-06-05,14:27:40
131,2020-06-05 14:27:41,卖出,111.427,300,2020-06-05,14:27:41
132,2020-06-05 14:27:42,卖出,111.423,1000,2020-06-05,14:27:42
133,2020-06-05 14:28:49,卖出,111.42,4000,2020-06-05,14:28:49
134,2020-06-05 14:28:50,卖出,111.425,4000,2020-06-05,14:28:50
135,2020-06-05 14:28:52,买入,111.424,1000,2020-06-05,14:28:52
136,2020-06-05 14:29:03,买入,111.427,500,2020-06-05,14:29:03
137,2020-06-05 14:32:47,卖出,111.436,100,2020-06-05,14:32:47
138,2020-06-05 14:33:09,卖出,111.427,4000,2020-06-05,14:33:09
139,2020-06-05 14:34:45,买入,111.41,2500,2020-06-05,14:34:45
140,2020-06-05 14:34:45,买入,111.405,300,2020-06-05,14:34:45
141,2020-06-05 14:36:21,卖出,111.404,100,2020-06-05,14:36:21
142,2020-06-05 14:36:33,卖出,111.404,300,2020-06-05,14:36:33
143,2020-06-05 14:36:49,卖出,111.4,2500,2020-06-05,14:36:49
144,2020-06-05 14:36:50,卖出,111.4,2500,2020-06-05,14:36:50
145,2020-06-05 14:36:51,买入,111.4038,2500,2020-06-05,14:36:51
146,2020-06-05 14:37:36,卖出,111.408,1900,2020-06-05,14:37:36
147,2020-06-05 14:37:51,买入,111.407,100,2020-06-05,14:37:51
148,2020-06-05 14:38:03,买入,111.408,2500,2020-06-05,14:38:03
149,2020-06-05 14:38:03,买入,111.413,2500,2020-06-05,14:38:03
150,2020-06-05 14:38:06,卖出,111.409,1000,2020-06-05,14:38:06
151,2020-06-08 09:39:16,买入,111.4129,2100,2020-06-08,09:39:16
152,2020-06-08 09:39:16,买入,111.431,2100,2020-06-08,09:39:16
153,2020-06-08 09:39:17,买入,111.4225,2100,2020-06-08,09:39:17
154,2020-06-08 09:39:18,买入,111.4334,2100,2020-06-08,09:39:18
155,2020-06-08 09:40:05,卖出,111.433,1200,2020-06-08,09:40:05
156,2020-06-08 09:40:16,卖出,111.434,2100,2020-06-08,09:40:16
157,2020-06-08 09:40:17,卖出,111.434,2100,2020-06-08,09:40:17
158,2020-06-08 09:40:18,卖出,111.434,2100,2020-06-08,09:40:18
159,2020-06-08 09:40:18,卖出,111.434,1000,2020-06-08,09:40:18
160,2020-06-08 09:40:20,买入,111.4456,2100,2020-06-08,09:40:20
161,2020-06-08 09:40:20,买入,111.445,2100,2020-06-08,09:40:20
162,2020-06-08 09:43:23,买入,111.43,100,2020-06-08,09:43:23
163,2020-06-08 09:43:32,卖出,111.456,300,2020-06-08,09:43:32
164,2020-06-08 09:44:33,买入,111.432,100,2020-06-08,09:44:33
165,2020-06-08 09:45:41,买入,111.4565,1100,2020-06-08,09:45:41
166,2020-06-08 09:45:51,买入,111.464,2100,2020-06-08,09:45:51
167,2020-06-08 09:45:52,买入,111.4644,2100,2020-06-08,09:45:52
168,2020-06-08 09:45:56,卖出,111.469,400,2020-06-08,09:45:56
169,2020-06-08 09:46:08,卖出,111.4674,2100,2020-06-08,09:46:08
170,2020-06-08 09:46:17,卖出,111.449,500,2020-06-08,09:46:17
171,2020-06-08 09:46:24,卖出,111.429,2100,2020-06-08,09:46:24
172,2020-06-08 09:46:24,卖出,111.4249,2100,2020-06-08,09:46:24
173,2020-06-08 09:46:27,卖出,111.4126,2100,2020-06-08,09:46:27
